Ctrl_602_R1B1	LMP.Olap_602_R1B1	Ctrl_602_R2B2	LMP.Olap_602_R2B2
ENSG00000039560.14|RAI14	526	695	645	589
ENSG00000039650.12|PNKP	524.2	544.53	493.47	520.19
ENSG00000040199.18|PHLPP2	578.32	682.07	723.91	773.99
ENSG00000040275.17|SPDL1	626	743	601	638
ENSG00000040341.18|STAU2	1095.46	1066.42	1234.69	1086.34
ENSG00000040487.13|PQLC2	316	360	313	344
ENSG00000040531.14|CTNS	363	370	400	378
ENSG00000040608.14|RTN4R	25	61	37	39
ENSG00000040633.13|PHF23	1022	1187	1134	1181
ENSG00000040933.15|INPP4A	608	756	680	765
ENSG00000041353.10|RAB27B	28	48	25	29
ENSG00000041357.16|PSMA4	3707	4194	3874	3929
ENSG00000041802.11|LSG1	824	883	923	880
ENSG00000041880.14|PARP3	216	256	231	236
ENSG00000041982.16|TNC	2643	1682	1975	1174
ENSG00000041988.15|THAP3	87.05	114.2	87.08	96
ENSG00000042088.13|TDP1	363	414	375	459
ENSG00000042286.15|AIFM2	11	7	18	17
ENSG00000042317.17|SPATA7	103.12	123	138	129.07
ENSG00000042429.12|MED17	806	922.15	1076.45	914.27
ENSG00000042445.14|RETSAT	847.97	891.86	901.85	891.97
ENSG00000042753.11|AP2S1	592	716	574	679
ENSG00000042832.12|TG	54	60	41	37
ENSG00000043093.14|DCUN1D1	651	851	863	851
ENSG00000043143.20|JADE2	166	210	196	200
ENSG00000043355.12|ZIC2	96	108	100	120
ENSG00000043514.16|TRIT1	195	220	235	215
ENSG00000044090.8|CUL7	36.82	50	28.01	36
ENSG00000044115.21|CTNNA1	6992	7009	7844	7075
ENSG00000044446.11|PHKA2	212.86	297	256	285
ENSG00000044459.15|CNTLN	444	461	507	482
ENSG00000044524.11|EPHA3	7202	6413	9047	6366
ENSG00000044574.8|HSPA5	9381	8050	11062	8224
ENSG00000046647.13|GEMIN8	176	158	160	154
ENSG00000046651.15|OFD1	775	940	906	962
ENSG00000046653.15|GPM6B	10865	12208	11678	10794
ENSG00000046774.10|MAGEC2	43	57	55	42
ENSG00000047056.15|WDR37	442	501	435	475
ENSG00000047188.16|YTHDC2	1267	1676	1522	1576
ENSG00000047230.15|CTPS2	557	650	681	650
ENSG00000047249.18|ATP6V1H	560	638	633	607
ENSG00000047315.16|POLR2B	3763.69	4307.12	4149.76	3994.76
ENSG00000047346.12|FAM214A	533.47	590.69	564.81	556.8
ENSG00000047365.12|ARAP2	156	191	196	158
ENSG00000047410.14|TPR	5965	7110.97	6495.98	6866
ENSG00000047578.13|KIAA0556	539.53	487.48	505.68	477.37
ENSG00000047579.19|DTNBP1	300	314	303	247
