Ctrl_827_R1B1	LMP.Olap_827_R1B1	Ctrl_827_R2B1	LMP.Olap_827_R2B1	Ctrl_827_R3B2	LMP.Olap_827_R3B2
ENSG00000019549.12|SNAI2	1597	1360	2658	1965	2280	1766
ENSG00000019995.6|ZRANB1	602.45	555.8	842.83	674.91	652.93	452.31
ENSG00000020129.16|NCDN	741	788	441	1014	898.86	703
ENSG00000020181.17|ADGRA2	147.42	112.04	172.51	175.14	181.44	128.38
ENSG00000020256.20|ZFP64	584	549	350	643	692	469
ENSG00000020426.11|MNAT1	254	174	193	214	291	152
ENSG00000020577.13|SAMD4A	912	749	2177	1038	938	627
ENSG00000020922.12|MRE11	860	645	530	683	888	691
ENSG00000021300.14|PLEKHB1	1599	1686	1168	1891	1957	1565
ENSG00000021355.13|SERPINB1	135	185	176	199	183	181
ENSG00000021574.12|SPAST	522	506	426	504	608	472
ENSG00000021645.18|NRXN3	209	121	200	167	308	119
ENSG00000021762.20|OSBPL5	424	338	335	478	482	263
ENSG00000021776.11|AQR	1373	1123	1061	1167	1365	994
ENSG00000021826.15|CPS1	406	300	334	264	367	232
ENSG00000022267.17|FHL1	1065	996	1690	1252	1217	917
ENSG00000022277.12|RTF2	2525.75	2421	2250	2664	2850	2132
ENSG00000022567.9|SLC45A4	257	227	160	302	257	185
ENSG00000022840.16|RNF10	2423	2278	2943	2699	2624	2068
ENSG00000022976.15|ZNF839	202.96	213.32	110.56	242.57	183.85	190.77
ENSG00000023041.11|ZDHHC6	704.44	632	544	674	728	509
ENSG00000023171.18|GRAMD1B	180	177	120	182	150	129
ENSG00000023191.17|RNH1	1433	1356	1140	1874	1770	1287
ENSG00000023228.14|NDUFS1	3255.45	3124.69	3026.42	3384.53	3612.5	2725.04
ENSG00000023287.13|RB1CC1	1288	1025	1456	1260	1341	996
ENSG00000023318.8|ERP44	1210	1058	1550	1137	1190	943
ENSG00000023330.15|ALAS1	1875	1712	1344	1884	1803	1414
ENSG00000023516.9|AKAP11	1309	1117	1127	1117	1250	966
ENSG00000023572.9|GLRX2	493.91	465.7	394.89	542	532.39	343.53
ENSG00000023608.5|SNAPC1	178	157.4	130.96	171	179.6	166.55
ENSG00000023697.13|DERA	492	384	437	411	660	381
ENSG00000023734.11|STRAP	3190	2795	2318	2868	3241	2445
ENSG00000023902.14|PLEKHO1	710	519	1068	759	790	597
ENSG00000023909.10|GCLM	773	590	450	531	833	562
ENSG00000024048.10|UBR2	964	1017	972	1064	1048	825
ENSG00000024422.12|EHD2	1404	1658	3161	2606	1707	1755
ENSG00000024526.17|DEPDC1	1554.82	702.8	719.44	806.13	1702.58	895.65
ENSG00000024862.17|CCDC28A	191.75	200.92	880.88	346	212	181
ENSG00000025039.14|RRAGD	320	320	1018	451	363	303
ENSG00000025156.12|HSF2	502	468	465	450	573	398
ENSG00000025293.17|PHF20	1626	1497	1427	1672	1675	1236
ENSG00000025423.11|HSD17B6	92	51	44.02	49.06	77.06	41
ENSG00000025434.19|NR1H3	149	163	125	200	159	142
ENSG00000025770.19|NCAPH2	860.49	778.14	700.21	1095.65	1195.08	859.54
ENSG00000025772.8|TOMM34	961	952	629	1131	980	852
ENSG00000025796.14|SEC63	1759.44	1506.43	2323.86	1739.66	1903.29	1307.69
ENSG00000025800.14|KPNA6	1717	1641.59	1652.21	1804	1802	1405
ENSG00000026025.16|VIM	70274.17	62655.91	130648.85	89473.94	75193.75	59066.48
ENSG00000026036.22|RTEL1-TNFRSF6B	268.29	246.48	196.92	369.61	341.29	221.58
ENSG00000026103.22|FAS	1381.64	1800.13	1604.76	1793.31	1490.87	1252.63
ENSG00000026297.15|RNASET2	105	117	185	135	141.1	101
ENSG00000026508.18|CD44	5049	6222	6691	7087	5351	4848
ENSG00000026559.14|KCNG1	154	174.69	133	242	166.58	151
ENSG00000026652.14|AGPAT4	1031	828	909	960	920	756
ENSG00000026950.17|BTN3A1	748.09	700.89	934.43	814.92	864.66	628.28
ENSG00000027001.10|MIPEP	297	241	240	264	317	221
ENSG00000027644.5|INSRR	4	5	19	12	12	5
ENSG00000027697.14|IFNGR1	505	403	731	446	475	388
ENSG00000027847.14|B4GALT7	342	304	251	413	362	291
ENSG00000028116.17|VRK2	295.98	259.49	208.86	303.65	387.42	249.6
ENSG00000028137.19|TNFRSF1B	1647	1452	897	1737	2221	1674
ENSG00000028203.18|VEZT	1195	1040	1342	1138	1276	902
ENSG00000028310.18|BRD9	553.5	486	607.64	627.62	629.19	509.08
ENSG00000028528.15|SNX1	2195	2020	1901	2190	2444	1839
ENSG00000028839.10|TBPL1	369.19	373.26	300.92	394.69	417.48	342.01
ENSG00000029153.14|ARNTL2	592	456	338	462	662	395
ENSG00000029363.16|BCLAF1	4895.69	4175.97	4047.32	4188.32	5342.11	3750.39
ENSG00000029364.12|SLC39A9	1762	1601	1895	1773	1819	1375
ENSG00000029534.20|ANK1	98	119	58	141.33	109	100
ENSG00000029639.11|TFB1M	119.36	113.89	99.24	121.33	113.73	86.19
ENSG00000029725.17|RABEP1	1936.97	1606.26	1672.52	1661.36	2024.24	1449.72
ENSG00000029993.15|HMGB3	1821	1319	1268	1459	2189	1413
ENSG00000030066.13|NUP160	1644	1269	1329	1268	1825	1110
